,duration,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,num_compromised,root_shell,su_attempted,num_root,num_file_creations,num_shells,num_access_files,num_outbound_cmds,is_host_login,is_guest_login,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate,last_flag,attack_class,protocol_type_tcp,protocol_type_udp,service_X11,service_Z39_50,service_auth,service_bgp,service_courier,service_csnet_ns,service_ctf,service_daytime,service_discard,service_domain,service_domain_u,service_echo,service_eco_i,service_ecr_i,service_efs,service_exec,service_finger,service_ftp,service_ftp_data,service_gopher,service_hostnames,service_http,service_http_443,service_http_8001,service_imap4,service_iso_tsap,service_klogin,service_kshell,service_ldap,service_link,service_login,service_mtp,service_name,service_netbios_dgm,service_netbios_ns,service_netbios_ssn,service_netstat,service_nnsp,service_nntp,service_ntp_u,service_other,service_pm_dump,service_pop_2,service_pop_3,service_printer,service_private,service_red_i,service_remote_job,service_rje,service_shell,service_smtp,service_sql_net,service_ssh,service_sunrpc,service_supdup,service_systat,service_telnet,service_tim_i,service_time,service_urh_i,service_urp_i,service_uucp,service_uucp_path,service_vmnet,service_whois,flag_REJ,flag_RSTO,flag_RSTOS0,flag_RSTR,flag_S0,flag_S1,flag_S2,flag_S3,flag_SF,flag_SH,attack_buffer_overflow,attack_ftp_write,attack_guess_passwd,attack_imap,attack_ipsweep,attack_multihop,attack_neptune,attack_nmap,attack_normal,attack_phf,attack_pod,attack_portsweep,attack_rootkit,attack_satan,attack_smurf,attack_teardrop,attack_warezclient,attack_warezmaster
duration,1.0,0.018242824935517495,0.04155853955819614,,,,0.010565608719870563,,-0.05963888975953335,0.07510557716087046,,,,,,,,,,-0.10396789666208471,-0.05197168687820107,-0.09181510024664201,-0.09117655374153809,0.18828314017021133,0.1879669439444443,0.08649553143492401,0.0028944370469533164,-0.04906088495715831,0.05130134322695293,-0.13745482138843165,-0.1391183559731598,0.3217694010444976,0.2842379024023081,-0.03571096703680323,-0.079787008717787,-0.07858255150604597,0.16535592100657986,0.18584951422287863,-0.1547712163840542,0.09463408416436382,-0.043752118555566745,0.08127383280515948,0.025884095615112884,-0.012736893869887819,-0.011903175269243742,-0.003103640779776332,-0.011565672127890378,-0.009353754560728194,-0.009193181598287543,-0.009110867753653495,-0.009273809786436167,-0.00935375456072823,-0.03654253761319219,-0.007979594225595618,-0.027243212177859945,-0.02275540796352605,-0.008164798040998367,-0.008863459282187234,-0.016745598862194754,-0.005362426585102054,-0.02291299810306113,-0.0010677422513360193,-0.008433485420327753,-0.09700778429412382,-0.009812686567455067,-0.0012151972711871907,-0.002012853601253,-0.009970653480882814,-0.008863459282187222,-0.007792343362874479,-0.008255319153308736,-0.0090258297155458,-0.007599358704534377,-0.008863459282187276,-0.008516983602275542,-0.008608014983076551,-0.007792343362874477,-0.007599358704534395,-0.008863459282187309,-0.009895606183443978,-0.006988872269151146,-0.0049686997806342075,0.34759738664884776,-0.0012151972711871915,-0.004022945023295479,-0.006193270149031789,-0.002977151819556146,0.03592296550459486,-0.0017186106368852663,0.014062065748330039,-0.0036466473595304204,-0.003215807875673677,-0.03496810856418724,0.008884842841719597,-0.0065356484796608195,-0.006648127556842814,-0.01011911060659448,-0.007598180197748079,0.11287341849687149,-0.0012151972711871915,-0.0109562811297662,-0.0012151972711871907,-0.010045150906298187,-0.011237767245726431,-0.01011911060659448,-0.00919318159828758,-0.010622705598646335,-0.04418804262612544,0.0014104960567345513,0.017904641662594405,0.5203372345421765,-0.08935931967848565,-0.008521190713045874,-0.004381320085916127,-0.0036172402557174115,-0.039730479404595544,-0.005958186177670261,-0.0013453262606168866,-0.0009800085373138953,-0.0027176569977915162,-0.0017186106368852674,-0.0239704418789055,0.00406184994509483,-0.10091451207596037,-0.015894461777208026,-0.009965197954681393,-0.0016562445499192983,-0.005438266740488159,0.4329442955925859,0.0024703115376622214,-0.023579168335129883,-0.021242987289318623,-0.012378667664632966,0.028960215355803513,-0.0021127867663465064
src_bytes,0.018242824935517495,1.0,0.13392163394100237,,,,0.35476087017205615,,0.15988189755691243,0.5480695239153266,,,,,,,,,,-0.1053522364655391,-0.035334688689725675,-0.09915484692301507,-0.09826146568876613,-0.042164201742496805,-0.03297844305242391,0.11903932630223987,-0.034324269335073494,0.011925863417136782,-0.06257846047505264,0.006888668272521252,0.0632414488938259,-0.03489456430196794,0.007855981442688512,-0.029494698873476843,-0.09999871499981013,-0.09939808212501322,-0.0435899598037682,-0.04894909095543098,-0.23268864435964573,-0.021706670904305878,0.06481722718662516,-0.05596546556602598,0.15861841102635707,-0.014742762905352305,-0.01378764231773145,-0.012852513038142157,-0.013387090695861482,-0.010826828652604264,-0.01064096783439239,-0.010546829862250449,-0.010734293763822778,-0.010773584038092322,-0.04331146599121355,-0.009237557870282919,-0.03116354405658358,-0.0034157456132822084,-0.009450629213691757,-0.010259319161653378,-0.019370522727636088,-0.007742835697610097,0.19275962420699536,-0.011540706475392253,-0.009761630834765807,0.04910919154878254,-0.01136649667656762,-0.0014065721462825451,-0.012131709862174033,-0.011540880014783888,-0.010259319161653416,-0.009019518508933618,-0.00955540604585724,-0.01045185790263772,-0.008796141666093847,-0.010259319161653385,-0.009863148400321074,-0.009963646196077232,-0.009019518508933524,-0.008794778299005192,-0.010259319161653433,-0.01145401387720884,-0.0080895128109365,-0.005522189078289222,-0.01292068750199958,-0.0013442203977534009,-0.00466419623212918,-0.006949148626785526,-0.003446007474473932,-0.0759785299291701,-0.0018068892190541905,-0.005450025812551921,-0.004220938305512556,-0.0036783188197336975,0.04567369569201527,-0.006896219750965175,-0.007582307779677106,-0.007710654892594099,-0.011712716945617551,-0.008796141666093866,-0.01282932506549644,-0.0006073360969543691,-0.012694843865455416,-0.0013555570793041519,-0.010125304259439756,-0.01300754557798645,-0.01171271694561753,-0.010640967834392388,-0.012295620733323112,-0.05114971948068861,-0.015616743971582173,0.018644831247476047,0.012429860799975089,-0.10343350151641693,0.045404899502142805,0.0392288987258657,0.024198429513396357,0.11428743042775218,-0.006896509253272254,-0.001160835527928143,-0.0012591952861227414,-0.002746966186042098,-0.0019892653775583943,-0.02752565900428292,0.0005943521474255898,-0.11680910346705808,-0.017649289186293896,0.008908657104336281,-0.0018870545634516408,0.002800639684809993,-0.021027674568397284,0.00036358748050680363,-0.027020792350502483,-0.002501894512648692,-0.013923935274632145,0.04889973798162829,-0.0025206883412535316
dst_bytes,0.04155853955819614,0.13392163394100237,1.0,,,,0.13110166408539103,,0.4253280554329068,0.26036509587654083,,,,,,,,,,-0.2449818496969906,-0.08929111719083412,-0.2059328789591026,-0.2067595841019407,-0.11554509395129191,-0.11141107910069455,0.2729729077050793,-0.1081706836530114,0.02265625102544738,-0.20046309174616753,0.32242201193841863,0.3128509161921089,-0.134850858180644,-0.08313033331265864,-0.020379332147905917,-0.20808648323232695,-0.21066468960012166,-0.12247612697293496,-0.10921404280389024,0.08519512450798689,-0.26689761155808256,0.1634830292400526,-0.12394314883818945,0.11081966081530568,-0.03184993192304884,-0.02965246603832547,-0.027766615851016974,-0.02892116830801622,-0.023390036029323474,-0.02298850651648942,-0.022785132968170113,-0.023190125746079905,-0.022660834244493104,-0.09212960960839586,-0.019956611334834735,-0.06812456428521728,-0.05690230747983097,-0.02041692585158379,-0.022164001345830728,-0.040207541295842926,0.007627204801064221,-0.07549065516766404,-0.024932656460851976,-0.021088806727831793,0.41949993698793653,-0.024555922636509884,-0.0030387266885836877,-0.02620942874426399,-0.024932656460852007,-0.022164001345830717,-0.01948556402436079,-0.020643283352752992,-0.02257995769215939,-0.019002985739455507,-0.022164001345830724,-0.021308122983047226,-0.021525236150626455,-0.01948556402436084,-0.019002985739455386,-0.02216400134583063,-0.02474499281965129,-0.017476400724413622,-0.01209440502593093,-0.06526259149657286,-0.0015393110818996694,-0.009983033860901136,-0.004420093763995489,-0.007444676698182891,-0.16392362653941053,-0.004297563981654401,-0.011774903503247393,-0.009118819758890447,-0.008040617398460575,-0.06529044552455895,-0.014899062789896122,-0.016368203711031815,-0.01666128179892608,-0.025303889084211408,-0.019002985739455264,0.12176819574101196,-0.003038726688583689,-0.027419090897319184,-0.0030387266885836886,-0.02511894509084276,-0.028101207609763576,-0.025303889084211325,-0.022988506516489534,-0.026563181258636166,-0.11050269842917508,-0.026269679357183023,-0.010081964525872691,-0.02220691726439542,-0.22345539998235034,0.14000433044064994,0.055295033972533984,0.01312493451481227,0.26086384235506843,-0.01489906278989619,0.013261135062498125,-0.0020368850109034504,-0.005902572839461077,-0.0042975639816544035,-0.059915492577397374,0.053242016610159724,-0.2523517482647363,-0.03974576626393486,0.29538671352334406,0.021348086821820468,-0.013598950144829529,-0.054908799856059655,0.04688013562838071,-0.056571353540933844,-0.053120333148333775,-0.03095414943051139,-0.013064451368902797,0.07146619196370373
land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wrong_fragment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
urgent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hot,0.010565608719870563,0.35476087017205615,0.13110166408539103,,,,1.0,,0.16845258345679878,0.37866639975550553,,,,,,,,,,-0.10030859877592577,-0.049084923606631796,-0.08410982615340257,-0.08236817636575679,-0.03575673106461503,-0.03029938157415662,0.10574701740402925,-0.03913160392155219,-0.014044931013028688,-0.033295905191384166,-0.031741209423238353,0.014181313049889921,-0.02078870063959102,-0.03528934309524236,-0.03484348532023092,-0.08583464745514884,-0.08587525492669158,-0.03628358318439094,-0.03997532774918521,-0.2242469229103606,0.020512199319623847,0.0659267483111018,-0.05093318680281785,-0.0042754720523006315,-0.0124234046644305,-0.011653522657723351,-0.01083066380526036,-0.011281009269554292,-0.009123532301731659,-0.008966911445062361,-0.00888758342970221,-0.009045555169745588,-0.009123532301731681,-0.03823958847153148,-0.007784288485841051,-0.02657271079097011,-0.02219535017750576,-0.00796383905845469,-0.008645304434794485,-0.016362926975194536,0.6666293157016562,-0.02233714409095774,-0.009725247806518367,-0.008225913339557935,0.010750155145281043,-0.009578298771842691,-0.0011852876611507105,-0.004574147386767496,-0.009725247806518391,-0.008645304434794455,-0.0076005514728940396,-0.008052132209053731,-0.00880755263129504,-0.007412316680740243,-0.008645304434794499,-0.008311459977290507,-0.008396147277261118,-0.0076005514728939546,-0.007412316680740201,-0.008645304434794492,-0.009652047607501543,-0.006816855960687832,-0.00488989766435728,-0.026201395200566836,-0.001185287661150711,-0.003932577483052893,-0.00604927887969247,-0.002903875318818222,-0.06456639723330984,-0.0016763105348032651,-0.004592926335255365,-0.00355689262383377,-0.0031366573526259785,-0.032748956776345754,-0.00581153788984047,-0.0018848277105511827,-0.0020698452017870474,-0.009870051039246625,-0.007412316680740218,0.012337030445447492,-0.0011852876611507124,-0.010698599448770316,-0.0011852876611507114,-0.009797911667789639,-0.010961174879077941,-0.009870051039246512,-0.008966911445062408,-0.010361251344208943,-0.043102752697053555,-4.076835812306168e-05,-0.003932577483052901,-0.000593889257299875,-0.08670269542365518,0.005560377765268614,0.056241334173646684,-0.003556892623833773,0.10101590107344671,-0.005811537889840468,0.039923601557302554,0.04728175602158279,0.05154487838955088,0.032596304704125806,-0.023397283879257474,0.07151527786295027,-0.09843248312253176,-0.015503258819758954,0.00026862893190443077,0.06686891994305476,-0.0053044151261865576,-0.020045059656465487,0.015459997084661331,-0.021731558663565895,-0.020720150868941994,-0.012073995176743407,0.25214266386663137,0.029866620064043583
num_failed_logins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logged_in,-0.05963888975953335,0.15988189755691243,0.4253280554329068,,,,0.16845258345679878,,1.0,0.12904756310392554,,,,,,,,,,-0.550202362882345,-0.2022786212104033,-0.49778381105891534,-0.49508680432996394,-0.2846847383676701,-0.2801374252324142,0.6067519302033271,-0.2239266146212614,0.13718688609947755,-0.40090508046772555,0.6284797274749324,0.6129320086467387,-0.2560717054295426,-0.15645370011015483,-0.04837864061422164,-0.4946822496494101,-0.49701776966454303,-0.2757898822292509,-0.2716251713199698,0.29570831716324286,-0.6153854233196452,0.38274645082730974,-0.2956993477990192,0.013794478042697317,-0.07212571777488164,-0.03380444249444679,-0.06287885020516232,-0.06549339032006755,-0.052967872630661335,-0.05205858954676304,-0.0515980402688428,-0.052515166084715265,-0.041619831105262954,-0.22200498497983565,-0.04519271565028539,-0.15427138459961873,-0.12885803900446643,-0.04623512023070824,-0.050191457542006296,-0.0949971352348265,0.06982731314230098,0.08703592311723365,-0.05646121152215476,-0.04775662710788675,0.7032186170761868,-0.05560807947916047,-0.006881344175721224,-0.05935252437012761,-0.05646121152215454,-0.05019145754200608,-0.04412600613718697,-0.0467477177861751,-0.05113341089105732,-0.043033184172434714,-0.05019145754200611,-0.048253279419901686,-0.048744942732962454,-0.044126006137186584,-0.0430331841724344,-0.05019145754200601,-0.056036238091926815,-0.039576158260408126,-0.028388947185892563,-0.1341912470764426,-0.0068813441757212285,-0.022831098344773235,0.02293236630188028,-0.01685883196722959,-0.3744608499750935,-0.0097320423669726,-0.02666484088423097,-0.020650010240486308,-0.018210278831191952,0.2789384327685876,-0.03373965132768877,-0.030627289855125885,-0.037730281863725956,-0.05730188582833336,-0.04303318417243455,-0.0010170833423839563,-0.006881344175721236,-0.060173561650488296,-0.0068813441757212285,-0.05688307117271392,-0.06363654949379728,-0.05730188582833359,-0.05205858954676324,-0.06015361412050458,-0.2502387276532235,-0.07088368975445514,-0.02283109834477332,-0.0948799756000875,-0.5060256063761647,0.04883923641587774,0.03792966312360487,0.02575428080416722,0.6439830021360425,-0.03373965132768871,0.01821422645110195,0.010515227591727723,-0.015389380631972857,-0.009732042366972619,-0.13311778647406908,0.01051522759172774,-0.5714627905426957,-0.0900062181365109,0.6956240019207475,0.014871315517411566,-0.030795483097119637,-0.12434364416677571,0.014871315517411632,-0.1290068513007548,-0.12029357444220458,-0.07009717481282637,0.1049981357780415,0.00017283848011756433
num_compromised,0.07510557716087046,0.5480695239153266,0.26036509587654083,,,,0.37866639975550553,,0.12904756310392554,1.0,,,,,,,,,,-0.07457120043400609,-0.036399079478093156,-0.06391750793346163,-0.06482648261514228,-0.0218267008383105,-0.01266387451971343,0.07790304893935207,-0.028041840492235272,-0.007894359259724024,-0.02667940757835669,-0.007661575759126598,0.046161302591961086,-0.03257578637637657,-0.030141015627567797,-0.012613184072802952,-0.04385163318627429,-0.04982826759581403,-0.02975576627311377,-0.024519865091134994,-0.2528303099819558,0.012240419670380047,0.049392496765940784,-0.03815928024488355,-0.0032031951359046264,-0.009307648115969992,0.016577262820302047,-0.008114362389752989,-0.008451762420218995,-0.006835374885785967,-0.006718034119637301,-0.006658601357632443,-0.006776954209230445,-0.006835374885786003,-0.028649202308571504,-0.005832009824717981,-0.019908346239249378,-0.016628815919876968,-0.005966529595589909,-0.006477085284430011,-0.012259148803908541,-0.01268196599271853,-0.024935935982573623,-0.007286181756829405,-0.006162876350335683,0.06722979834663853,-0.007176087145675057,-0.0008880206967562101,-0.007659298634031352,-0.007286181756829419,-0.00647708528443002,-0.005694353561512855,-0.006032679060975932,-0.006598642068682677,-0.005553327550055086,-0.006477085284430041,-0.006226968120911209,-0.006290416073329236,-0.005694353561512847,-0.0055533275500551016,-0.006477085284430061,-0.0072313399712745086,-0.005107206780520956,-0.0036635244534254877,-0.0196301556023992,-0.0008880206967562099,-0.0029462976043790803,-0.004532135971450147,-0.002175591182149553,-0.048373318087609224,-0.0012558963514819673,-0.003441032736663913,-0.0026648334996058564,-0.0023499921066083462,-0.01985489357972542,-0.004354019783814375,-0.004786989601155056,-0.004869000929738054,-0.007394668727405862,-0.005553327550055069,0.2445529142358204,-0.0008880206967562095,-0.00801541941944222,-0.0008880206967562102,-0.007340621716705903,-0.008212141636516825,-0.007394668727405796,-0.00671803411963727,-0.007762677314144977,-0.032292697997875416,-0.011439877623295349,-0.0029462976043790733,0.010283904667042298,-0.06530137137103029,0.005560859080720549,-0.003203195135904632,-0.002664833499605862,0.07812551417427716,-0.004354019783814401,0.04602236561581319,-0.0008880206967562112,-0.0019859620682348427,-0.0012558963514819681,-0.01752930787492531,0.08148334876544268,-0.07374588052410354,-0.011615083114717149,-0.031178473797795397,-0.0012558963514819673,-0.00397408204829144,-0.016046244267184016,0.11523902629168797,-0.017241872521812012,-0.015523592638827174,-0.009045869590065174,-0.008867189690223435,-0.001985962068234842
